"ConstituencyCode","Constituency","CandidateCode","Candidate","Votes","Uncontested","elected","VotesN","Year"
"R38","KWONG YUEN","1","CHAN MAN KUEN","2,525*",FALSE,TRUE,2525,2015
"R38","KWONG YUEN","2","SUNG TSZ MING","1,553",FALSE,FALSE,1553,2015
"S01","KWAI HING","1","LEUNG CHI SHING","2,931*",FALSE,TRUE,2931,2015
"S01","KWAI HING","2","LEUNG CHI HO","1,139",FALSE,FALSE,1139,2015
"S02","KWAI SHING EAST ESTATE","1","CHAN YUK LING","75",FALSE,FALSE,75,2015
"S02","KWAI SHING EAST ESTATE","2","MO SANG TUNG","1,833",FALSE,FALSE,1833,2015
"S02","KWAI SHING EAST ESTATE","3","LEUNG KWONG CHEONG","677",FALSE,FALSE,677,2015
"S02","KWAI SHING EAST ESTATE","4","CHOW WAI HUNG RAYMAN","3,212*",FALSE,TRUE,3212,2015
"S03","UPPER TAI WO HAU","1","LAU CHIN PANG","1,589",FALSE,FALSE,1589,2015
"S03","UPPER TAI WO HAU","2","HUI KEI CHEUNG","2,217*",FALSE,TRUE,2217,2015
"S04","LOWER TAI WO HAU","1","WONG BING KUEN","3,098*",FALSE,TRUE,3098,2015
"S04","LOWER TAI WO HAU","2","CHEUNG WAI MAN","1,369",FALSE,FALSE,1369,2015
"S05","KWAI CHUNG ESTATE NORTH","1","LEUNG KAM WAI","2,195*",FALSE,TRUE,2195,2015
"S05","KWAI CHUNG ESTATE NORTH","2","LEUNG KONG MING","1,617",FALSE,FALSE,1617,2015
"S06","KWAI CHUNG ESTATE SOUTH","1","LEE WANG FUNG","1,790",FALSE,FALSE,1790,2015
"S06","KWAI CHUNG ESTATE SOUTH","2","WONG YUN TAT","2,320*",FALSE,TRUE,2320,2015
"S07","SHEK YAM","1","LI SAI LUNG","2,907*",FALSE,TRUE,2907,2015
"S07","SHEK YAM","2","WAN SIU KIN ANDREW","2,853",FALSE,FALSE,2853,2015
"S08","ON YAM","1","LEUNG TSZ WING DENNIS","2,714*",FALSE,TRUE,2714,2015
"S08","ON YAM","2","LEUNG WING KUEN","1,831",FALSE,FALSE,1831,2015
"S09","SHEK LEI SOUTH","1","LEUNG KWOK WAH","2,974",FALSE,FALSE,2974,2015
"S09","SHEK LEI SOUTH","2","NG KA CHIU","3,141*",FALSE,TRUE,3141,2015
"S10","SHEK LEI NORTH","1","LAM SIU FAI","2,981*",FALSE,TRUE,2981,2015
