"ConstituencyCode","Constituency","CandidateCode","Candidate","Votes","Uncontested","elected","VotesN","Year"
"Q11","澳唐","2","呂文光","1,831*",FALSE,TRUE,1831,2015
"Q11","澳唐","3","高永聯","1,036",FALSE,FALSE,1036,2015
"Q12","富君","1","陸平才","2,087*",FALSE,TRUE,2087,2015
"Q12","富君","2","呂劍豪","1,671",FALSE,FALSE,1671,2015
"Q12","富君","3","石遠康","43",FALSE,FALSE,43,2015
"Q13","軍寶","1","李國培","534",FALSE,FALSE,534,2015
"Q13","軍寶","2","陳展浚","480",FALSE,FALSE,480,2015
"Q13","軍寶","3","李新","583",FALSE,FALSE,583,2015
"Q13","軍寶","4","黃天佑","487",FALSE,FALSE,487,2015
"Q13","軍寶","5","黎銘澤","784*",FALSE,TRUE,784,2015
"Q14","南安","1","周賢明","3,359*",FALSE,TRUE,3359,2015
"Q14","南安","2","余啟津","985",FALSE,FALSE,985,2015
"Q15","康景","1","陳健浚","2,446",FALSE,FALSE,2446,2015
"Q15","康景","2","林少忠","3,274*",FALSE,TRUE,3274,2015
"Q16","翠林","1","陳源彬","1,396",FALSE,FALSE,1396,2015
"Q16","翠林","2","譚領律","3,051*",FALSE,TRUE,3051,2015
"Q17","寶林","1","區能發","2,446*",FALSE,TRUE,2446,2015
"Q17","寶林","2","黃樂然","779",FALSE,FALSE,779,2015
"Q17","寶林","3","張志董","913",FALSE,FALSE,913,2015
"Q18","欣英","1","楊浩泉(泉仔)","1,007",FALSE,FALSE,1007,2015
"Q18","欣英","2","鍾錦麟","3,283*",FALSE,TRUE,3283,2015
"Q18","欣英","3","廖子聰(子聰)","1,229",FALSE,FALSE,1229,2015
"Q19","運亨","1","申偉基","2,313",FALSE,FALSE,2313,2015
"Q19","運亨","2","范國威","3,104*",FALSE,TRUE,3104,2015
"Q19","運亨","3","黎子華","117",FALSE,FALSE,117,2015
"Q20","景林","1","<U+6E29>啟明","2,878*",FALSE,TRUE,2878,2015
"Q20","景林","2","林<U+548F>然","2,707",FALSE,FALSE,2707,2015
"Q21","厚德","1","凌文海","2,679*",FALSE,TRUE,2679,2015
"Q21","厚德","2","曾浩文","2,261",FALSE,FALSE,2261,2015
"Q22","富藍","1","陳耀銘","2,113",FALSE,FALSE,2113,2015
"Q22","富藍","2","陳博智","2,207*",FALSE,TRUE,2207,2015
"Q23","德明","*","<U+6E29>悅昌","自動當選",TRUE,TRUE,0,2015
"Q24","尚德","1","蔡乾正(蔡春曉)","650",FALSE,FALSE,650,2015
"Q24","尚德","2","簡兆祺","2,978*",FALSE,TRUE,2978,2015
"Q24","尚德","3","黃輝","1,662",FALSE,FALSE,1662,2015
"Q25","廣明","1","舒孝傑","777",FALSE,FALSE,777,2015
"Q25","廣明","2","蔡明禧","1,055",FALSE,FALSE,1055,2015
"Q25","廣明","3","莊元苳","3,373*",FALSE,TRUE,3373,2015
"Q26","環保北","1","崔定邦(阿邦)","665",FALSE,FALSE,665,2015
"Q26","環保北","2","方國珊(哪吒)","2,667*",FALSE,TRUE,2667,2015
"Q27","環保南","1","張美雄","2,188*",FALSE,TRUE,2188,2015
"Q27","環保南","2","胡綽謙","539",FALSE,FALSE,539,2015
"R01","沙田市中心","1","黃自勇","1,328",FALSE,FALSE,1328,2015
"R01","沙田市中心","2","<U+885E>慶祥","2,759*",FALSE,TRUE,2759,2015
"R02","瀝源","1","黃宇翰","1,799*",FALSE,TRUE,1799,2015
"R02","瀝源","2","黃浩銘","1,406",FALSE,FALSE,1406,2015
"R03","禾輋<U+90A8>","1","余倩雯","2,495*",FALSE,TRUE,2495,2015
"R03","禾輋<U+90A8>","2","李煒鋒","1,602",FALSE,FALSE,1602,2015
"R03","禾輋<U+90A8>","3","李德華","1,185",FALSE,FALSE,1185,2015
"R04","第一城","*","黃嘉榮","自動當選",TRUE,TRUE,0,2015
"R05","愉城","*","梁家輝","自動當選",TRUE,TRUE,0,2015
"R06","王屋","1","梁志偉","1,936",FALSE,FALSE,1936,2015
"R06","王屋","2","黎梓恩","2,111*",FALSE,TRUE,2111,2015
"R07","沙角","1","陳兆陽","2,627*",FALSE,TRUE,2627,2015
"R07","沙角","2","楊倩紅","2,437",FALSE,FALSE,2437,2015
"R08","博康","1","趙柱幫","2,859*",FALSE,TRUE,2859,2015
